,author,date,likes,views
2551,David Miliband,April 2017,45K,1.5M
2552,Anab Jain,April 2017,55K,1.8M
2553,Jim Yong Kim,April 2017,53K,1.7M
2554, Sofi Tukker,March 2017,59K,1.9M
2555,Sharon Terry,November 2016,41K,1.3M
2556,Katrina Spade,March 2016,42K,1.4M
2557,Richard Browning,April 2017,70K,2.3M
2558,Tim Ferriss,April 2017,325K,10M
2559,Janja Lalich,June 2017,140K,4.6M
2560,Anne Lamott,April 2017,195K,6.5M
2561,Mehdi Ordikhani-Seyedlar,April 2017,102K,3.4M
2562,Shohini Ghose,June 2017,96K,3.2M
2563,Carina Morillo,October 2016,22K,734K
2564,Justin Davidson,March 2017,46K,1.5M
2565,Michael Patrick Lynch,April 2017,57K,1.9M
2566,Netta Schramm,June 2017,430K,14M
2567,Michael Bierut,March 2017,58K,1.9M
2568,Rhiannon Giddens,February 2016,47K,1.5M
2569,Raj Panjabi,April 2017,42K,1.4M
2570,Marlon Peterson,December 2016,37K,1.2M
2571,Garry Kasparov,April 2017,56K,1.8M
2572,Peta Greenfield,May 2017,262K,8.7M
2573,Triona McGrath,February 2016,48K,1.6M
2574, OK Go,April 2017,73K,2.4M
2575,Nina Fedoroff,October 2016,33K,1.1M
2576,Stephen Bax,May 2017,242K,8M
2577,Anthony D. Romero,April 2017,38K,1.2M
2578,Sitawa Wafula,February 2017,27K,914K
2579,Rutger Bregman,April 2017,114K,3.8M
2580,T. Morgan Dixon and Vanessa Garrison,April 2017,42K,1.4M
2581,Wendy Troxel,November 2016,67K,2.2M
2582,Dan Adams,May 2017,104K,3.4M
2583,Ted Halstead,April 2017,48K,1.6M
2584,Lucy Kalanithi,November 2016,74K,2.4M
2585,Shunan Teng,May 2017,164K,5.4M
2586,Stuart Russell,April 2017,46K,1.5M
2587,Céline Valéry,May 2017,110K,3.6M
2588,Shah Rukh Khan,April 2017,338K,11M
2589,Kate Stafford,November 2016,38K,1.2M
2590,Jorge Drexler,April 2017,55K,1.8M
2591,Robert Sapolsky,April 2017,69K,2.3M
2592,Carolyn Jones,November 2016,44K,1.4M
2593,Karim Abouelnaga,April 2017,37K,1.2M
2594,Sangu Delle,February 2017,79K,2.6M
2595,Laura Galante,April 2017,80K,2.6M
2596,Deborah Lipstadt,April 2017,45K,1.5M
2597,Alex Gendler,May 2017,274K,9.1M
2598,Elon Musk,April 2017,849K,28M
2599,Lisa Genova,April 2017,180K,6M
2600,Serena Williams and Gayle King,April 2017,78K,2.6M
2601,His Holiness Pope Francis,April 2017,113K,3.7M
2602,Siddhartha Roy,November 2016,32K,1M
2603,Kenny Coogan,April 2017,162K,5.4M
2604,Stephanie Busari,February 2017,44K,1.4M
2605,Menno Schilthuizen,April 2017,86K,2.8M
2606,Joao Pedro de Magalhaes,April 2017,154K,5.1M
2607,"Curtis ""Wall Street"" Carroll",January 2016,195K,6.5M
2608,David Casarett,November 2016,89K,2.9M
2609,Amy Green,February 2017,53K,1.7M
2610,Natasha Hurley-Walker,October 2016,41K,1.3M
2611,Siamak Hariri,March 2017,43K,1.4M
2612,Kate Slabosky,April 2017,181K,6M
2613,Chimamanda Ngozi Adichie,December 2012,146K,4.8M
2614,Zubaida Bai,December 2016,30K,1M
2615,Todd Scott,January 2017,35K,1.1M
2616,Jonathan Marks,February 2017,42K,1.4M
2617,Emma Bryce,April 2017,181K,6M
2618,Ari Wallach,October 2016,77K,2.5M
2619,Giorgia Lupi,March 2017,40K,1.3M
2620,David R. Williams,November 2016,52K,1.7M
2621,Sebastián Bortnik,October 2016,16K,564K
2622,Katie Bouman,November 2016,170K,5.6M
2623,"Gretchen Carlson, David Brooks",March 2017,32K,1M
2624,Casey Brown,May 2015,105K,3.5M
2625,Lisa Winer,April 2017,316K,10M
2626,Emtithal Mahmoud,November 2016,33K,1.1M
2627,Sō Percussion,February 2016,25K,846K
2628,Moshe Szyf,July 2016,48K,1.6M
2629,Michael Botticelli,October 2016,52K,1.7M
2630,Katie Hinde,October 2016,44K,1.4M
2631,Ashton Cofer,December 2016,44K,1.4M
2632,Mona Chalabi,February 2017,63K,2.1M
2633,Simon Anholt,November 2016,35K,1.1M
2634,Shilpa Ravella,March 2017,146K,4.8M
2635,Margaret Bourdeaux,November 2015,29K,998K
2636,J. V. Maranto,May 2017,210K,7M
2637,Michele L. Sullivan,October 2016,51K,1.7M
2638,Thomas Boothby,March 2017,134K,4.4M
2639,Peter Weinstock,January 2016,32K,1M
2640,Dan Bell,October 2016,67K,2.2M
2641, Silk Road Ensemble,February 2016,22K,762K
2642,Karina Galperin,September 2015,18K,632K
2643,Deanna Pucciarelli,March 2017,240K,8M
2644,Peggy Orenstein,October 2016,129K,4.3M
2645,Carrie Nugent,February 2016,44K,1.4M
2646,Caitlin Doughty,November 2016,40K,1.3M
2647,Amy Adkins,March 2017,210K,7M
2648,John Koenig,February 2016,58K,1.9M
2649,Joy Buolamwini,November 2016,45K,1.5M
2650,Jude Kelly,October 2016,38K,1.2M
2651,Caroline Paul,October 2016,62K,2M
2652,Megan Phelps-Roper,February 2017,316K,10M
2653,Carrie Poppy,October 2016,64K,2.1M
2654,Sara Ramirez,November 2015,37K,1.2M
2655,Kathy Hull,October 2016,31K,1M
2656,Lux Narayan,January 2017,54K,1.8M
2657,Jeff Kirschner,December 2016,44K,1.4M
2658,Ani Liu,November 2016,29K,976K
2659,Annie Bosler and Don Greene,February 2017,362K,12M
2660,Stacy Smith,October 2016,36K,1.2M
2661,Charity Wayua,November 2016,34K,1.1M
2662,Jonathan Rossiter,March 2016,42K,1.4M
2663,Brittney Cooper,October 2016,31K,1M
2664,Alex Gendler,February 2017,341K,11M
2665,Yuval Noah Harari,February 2017,107K,3.5M
2666,Grady Booch,November 2016,88K,2.9M
2667,Salil Dudani,April 2016,35K,1.1M
2668,Lara Setrakian,January 2017,39K,1.3M
2669,Amy Adele Hasinoff,June 2016,49K,1.6M
2670, Rodrigo y Gabriela,March 2015,90K,3M
2671,Krishna Sudhir,February 2017,198K,6.6M
2672,Miriam Zoila Pérez,October 2016,30K,1M
2673,Aala El-Khani,February 2016,32K,1M
2674,Helen M. Farrell,February 2017,180K,6M
2675,Jeff Speck,October 2013,72K,2.4M
2676,Joshua Smith,November 2016,32K,1M
2677,Thordis Elva and Tom Stranger,October 2016,185K,6.1M
2678,Maurice Conti,April 2016,216K,7.2M
2679,Nagin Cox,November 2016,64K,2.1M
2680,Sue Klebold,November 2016,395K,13M
2681,Eduardo Briceño,November 2016,123K,4.1M
2682,Alan Smith,April 2016,61K,2M
2683,Sarah Parcak,February 2016,31K,1M
2684,Deepika Kurup,October 2016,37K,1.2M
2685,Deeyah Khan,April 2016,43K,1.4M
2686,Megan Campisi and Pen-Pen Chen,January 2017,212K,7M
2687,Caleb Barlow,November 2016,51K,1.7M
2688,Jeanne Gang,October 2016,52K,1.7M
2689,Eleanor Nelsen,January 2017,121K,4M
2690,Paul Knoepfler,October 2015,50K,1.6M
2691,Robb Willer,September 2016,86K,2.8M
2692,Emily Parsons-Lord,May 2016,30K,1M
2693,Ashley Judd,October 2016,59K,1.9M
2694,Jennifer Brea,June 2016,67K,2.2M
2695,Robyn J. Crook,January 2017,101K,3.3M
2696,Sisonke Msimang,October 2016,44K,1.4M
2697,Eleanor Nelsen,January 2017,139K,4.6M
2698,Alejandro Sánchez Alvarado,August 2016,41K,1.3M
2699,Dan Bricklin,November 2016,37K,1.2M
2700,George Tulevski,November 2016,52K,1.7M
2701,Mandy Len Catron,November 2015,86K,2.8M
2702,Sofia Jawed-Wessel,October 2016,78K,2.6M
2703,Sam Kass,November 2015,54K,1.8M
2704,Erika Gregory,October 2016,30K,1M
2705,Adam Grant,November 2016,276K,9.2M
2706,Jennifer Lu,January 2017,241K,8M
2707,Christian Jarrett,December 2016,72K,2.4M
2708,James Beacham,September 2016,49K,1.6M
2709,Carlos Reif,December 2016,28K,936K
2710,Sharon Brous,October 2016,43K,1.4M
2711,Anjali Tripathi,November 2015,39K,1.3M
2712,Chinaka Hodge,October 2016,38K,1.2M
2713,Nina Klietsch,December 2016,71K,2.3M
2714,David Autor,September 2016,55K,1.8M
2715,Clément Vidal,December 2016,20K,678K
2716,Laura Vanderkam,October 2016,373K,12M
2717,Dena Simmons,November 2015,43K,1.4M
2718,Rebecca Brachman,September 2016,52K,1.7M
2719,Kevin Kelly,June 2016,55K,1.8M
2720,Kevin B. Jones,September 2015,30K,1M
2721,Andrey Vyshedskiy,December 2016,23K,777K
2722,Veerle Provoost,June 2016,36K,1.2M
2723,Elizabeth Lesser,October 2016,61K,2M
2724,Jia Jiang,May 2015,272K,9M
2725,Natalie Panek,October 2015,34K,1.1M
2726,Tiq Milan and Kim Katrin Milan,October 2016,50K,1.6M
2727,Kate Adams,September 2016,52K,1.7M
2728,Ryan Gravel,October 2016,27K,908K
2729,Judd A. Schorr,December 2016,180K,6M
2730,Danny Dorling,April 2016,50K,1.6M
2731,"Alicia Garza, Patrisse Cullors and Opal Tometi",October 2016,42K,1.4M
2732,Kostas Karpouzis,November 2016,9.3K,312K
2733,Joe Lassiter,June 2016,36K,1.2M
2734,Chand John,November 2016,104K,3.4M
2735,Adam Galinsky,September 2016,214K,7.1M
2736,Juan Enriquez,June 2016,96K,3.2M
2737,Sandi Toksvig,October 2016,29K,972K
2738,Clay Routledge,November 2016,48K,1.6M
2739,Roger Antonsen,January 2015,112K,3.7M
2740,Victor Rios,November 2015,49K,1.6M
2741,Peter Paccone,November 2016,60K,2M
2742,Steven Johnson,October 2016,44K,1.4M
2743,Bettina Warburg,June 2016,133K,4.4M
2744,Kimberlé Crenshaw,October 2016,150K,5M
2745,Hector Garcia,November 2015,34K,1.1M
2746,Stephanie Sardelis,November 2016,38K,1.2M
2747,Fawn Qiu,July 2016,38K,1.2M
2748,Jonathan Haidt,November 2016,66K,2.2M
2749,Suzanne Barakat,October 2016,62K,2M
2750,Halla Tómasdóttir,October 2016,32K,1M
2751,"Amanda Palmer, Jherek Bischoff, Usman Riaz",February 2016,23K,779K
2752,Tim Leberecht,June 2016,50K,1.6M
2753,Mallory Freeman,September 2016,34K,1.1M
2754,Kandice Sumner,November 2015,56K,1.8M
2755,Lisa Winer,November 2016,188K,6.2M
2756,Christopher Soghoian,June 2016,49K,1.6M
2757,Kelli Jean Drinkwater,May 2016,61K,2M
2758,Silk Road Ensemble + Rhiannon Giddens,February 2016,30K,1M
2759,Tasos Frantzolas,February 2016,46K,1.5M
2760,Romaine Seguin,September 2016,511,17K
2761,Stephanie Braccini Slade,September 2016,790,26K
2762,Mario Paluzzi,September 2016,391,13K
2763,Katie Francfort,September 2016,662,22K
2764,John Bidden,September 2016,202,6.7K
2765,Jenna Schilstra,September 2016,1.4K,48K
2766,Jan Denecker,September 2016,1.2K,42K
2767,Amelia Laytham,September 2016,620,20K
2768,Monica Johnson,September 2016,1K,34K
2769,Alyssa Monks,November 2015,43K,1.4M
2770,Ian Bremmer,September 2016,31K,1M
2771,Wisecrack,October 2016,123K,4.1M
2772,Betsy Schwarm,October 2016,128K,4.2M
2773,Wanis Kabbaj,September 2016,126K,4.2M
2774,Philippa Neave,September 2016,27K,915K
2775,Manwar Ali,April 2016,72K,2.4M
2776,Zeynep Tufekci,June 2016,54K,1.8M
2777,Todd Coleman,November 2015,45K,1.5M
2778,Rachel Botsman,June 2016,60K,2M
2779,Mel Rosenberg,October 2016,138K,4.6M
2780,Trevor Copp and Jeff Fox,November 2015,22K,745K
2781,Jim Hemerling,May 2016,92K,3M
2782,Melissa Walker,November 2015,32K,1M
2783,Pico Iyer,June 2016,58K,1.9M
2784,Ione Wells,June 2016,39K,1.3M
2785,John McWhorter,February 2016,153K,5.1M
2786,Rainn Wilson,May 2016,29K,968K
2787,Amy Adkins,October 2015,249K,8.3M
2788,Isaac Lidsky,June 2016,104K,3.4M
2789,Adam de la Zerda,April 2016,34K,1.1M
2790,Sayu Bhojwani,September 2016,31K,1M
2791,Ellen Jorgensen,June 2016,67K,2.2M
2792,Yossi Elran,October 2016,288K,9.6M
2793,Helen Fisher,June 2016,68K,2.2M
2794,Sam Harris,June 2016,171K,5.7M
2795,Roey Tzezana,September 2016,20K,673K
2796,Oded Shoseyov,May 2016,55K,1.8M
2797,Camille A. Brown,June 2016,47K,1.5M
2798,J.D. Vance,September 2016,87K,2.9M
2799,Rebecca MacKinnon,June 2016,35K,1.1M
2800,Sebastian Kraves,May 2016,36K,1.2M
2801,Nadia Lopez,November 2015,42K,1.4M
2802,Camille Langston,September 2016,80K,2.6M
2803,David Burkus,January 2016,65K,2.1M
2804,NWHunter,September 2016,40K,1.3M
2805,Eric Liu,September 2016,30K,1M
2806,Abigail Marsh,June 2016,71K,2.3M
2807,Michael Murphy,February 2016,52K,1.7M
2808,Michael Shellenberger,June 2016,52K,1.7M
2809,Julie Lythcott-Haims,November 2015,192K,6.4M
2810,Neha Narula,May 2016,75K,2.5M
2811,Franz Freudenthal,February 2016,47K,1.5M
2812,David Camarillo,April 2016,48K,1.6M
2813,Courtney E. Martin,February 2016,87K,2.9M
2814,Krystian Aparta,September 2016,59K,1.9M
2815,Sal Khan,November 2015,132K,4.4M
2816,Jonathan Tepperman,June 2016,30K,1M
2817,Kio Stark,February 2016,96K,3.2M
2818,Christopher Bell,October 2015,39K,1.3M
2819,Akshita Agarwal,August 2016,68K,2.2M
2820,Julia Bacha,June 2016,27K,911K
2821,Vanessa Ruiz,November 2015,48K,1.6M
2822,Don Tapscott,June 2016,198K,6.6M
2823,Laura Boushnak,June 2016,21K,732K
2824,Timothy Ihrig,September 2013,43K,1.4M
2825,Olivier Scalabre,May 2016,63K,2.1M
2826,Gonzalo Vilariño,September 2015,17K,581K
2827,Anand Giridharadas,June 2016,31K,1M
2828,Sarah Parcak,June 2016,36K,1.2M
2829,James Green,November 2015,58K,1.9M
2830,Monica Araya,June 2016,43K,1.4M
2831,Dave Brain,September 2015,59K,1.9M
2832,Ngozi Okonjo-Iweala,June 2016,30K,1M
2833,Molly Winter,April 2016,57K,1.9M
2834,Martin Reeves,May 2016,70K,2.3M
2835,Anthony Goldbloom,February 2016,85K,2.8M
2836,John Cameron,July 2016,81K,2.7M
2837,Suzanne Simard,June 2016,155K,5.1M
2838,Matt Anticole,July 2016,165K,5.5M
2839,Ed Boyden,June 2016,47K,1.5M
2840,Gerard Ryle,June 2016,33K,1.1M
2841,eL Seed,June 2016,29K,989K
2842,Lisa Dyson,May 2016,44K,1.4M
2843,Adam Savage,February 2016,92K,3M
2844,Shubhendu Sharma,May 2016,108K,3.6M
2845,Sandra Rey,May 2016,613,20K
2846,Naufal Mukumi,May 2016,255,8.5K
2847,Min Zhu,May 2016,576,19K
2848,Mike Schwartz,May 2016,2.7K,90K
2849, MaJiKer,May 2016,119,3.9K
2850,Laura Fox,May 2016,651,21K
2851,Lars Fæste,May 2016,450,15K
2852,Emma Marris,June 2016,44K,1.4M
2853,Leila Hoteit,May 2016,126K,4.2M
2854,Elise Roy,September 2015,45K,1.5M
2855,Ganesh Pai,July 2016,261K,8.7M
2856,Safwat Saleem,February 2016,51K,1.7M
2857,Emma Bryce,July 2015,56K,1.8M
2858,Alexander Betts,June 2016,111K,3.7M
2859,Marwa Al-Sabouni,June 2016,33K,1.1M
2860,John Legend,February 2016,63K,2.1M
2861,Mia Nacamulli,June 2016,29K,974K
2862,Prosanta Chakrabarty,February 2016,38K,1.2M
2863,Julia Galef,February 2016,224K,7.4M
2864,Leah Lagos and Jaspal Ricky Singh,June 2016,51K,1.7M
2865,Blaise Agüera y Arcas,May 2016,62K,2M
2866,Wanda Diaz Merced,February 2016,29K,967K
2867,Tom Hulme,February 2016,50K,1.6M
2868,Brian Little,February 2016,465K,15M
2869,Seema Bansal,May 2016,49K,1.6M
2870,Steven Zheng,June 2016,376K,12M
2871,Mia Nacamulli,June 2016,381K,12M
2872,Keolu Fox,February 2016,30K,1M
2873,Gill Hicks,May 2016,29K,974K
2874,Tristan Harris,December 2014,61K,2M
2875,Benedetta Berti and Evelien Borgman,June 2016,33K,1.1M
2876,Chris Milk,February 2016,28K,946K
2877,Andrew Pelling,February 2016,40K,1.3M
2878,Jamila Raqib,November 2015,31K,1M
2879,Andrew Youn,February 2016,42K,1.4M
2880,Negin Farsad,February 2016,44K,1.4M
2881,Monica Menesini,June 2016,69K,2.3M
2882,Sajay Samuel,February 2016,41K,1.3M
2883,ShaoLan,February 2016,91K,3M
2884,Ewandro Magalhaes,June 2016,47K,1.5M
2885,Amit Sood,February 2016,35K,1.1M
2886,Cédric Villani,February 2016,64K,2.1M
2887,Stephen Wilkes,February 2016,62K,2M
2888,Norman Lear,February 2016,35K,1.1M
2889,Samantha Nutt,November 2015,34K,1.1M
2890,Dennis Shasha,May 2016,158K,5.2M
2891,Sue Desmond-Hellmann,February 2016,32K,1M
2892,Adam Driver,November 2015,362K,12M
2893,Joseph Ravenell,February 2016,37K,1.2M
2894,Zaria Forman,November 2015,48K,1.6M
2895,Mariano Sigman,February 2016,103K,3.4M
2896,Lidia Yuknavitch,February 2016,123K,4.1M
2897,Trevor Timm,February 2016,45K,1.5M
2898,PatrickJMT,May 2016,66K,2.2M
2899,Juno Mac,January 2016,86K,2.8M
2900,Sebastian Junger,November 2015,39K,1.3M
2901,Laura Indolfi,February 2016,43K,1.4M
2902,Peter Paccone,May 2016,22K,746K
2903,Kang Lee,February 2016,400K,13M
2904,Sara Garofalo,May 2016,63K,2.1M
2905,Sangeeta Bhatia,November 2015,28K,950K
2906,Sanford Biggers,February 2016,37K,1.2M
2907,Kanawat Senanan,May 2016,81K,2.7M
2908,Uri Hasson,February 2016,94K,3.1M
2909,Jennifer Kahn,February 2016,63K,2.1M
2910,Michael Bodekaer,October 2015,44K,1.4M
2911,Monica Byrne,February 2016,31K,1M
2912,Dan Pallotta,February 2016,62K,2M
2913,Alice Rawsthorn,February 2016,32K,1M
2914,Sarah Gray,November 2015,47K,1.5M
2915,Riccardo Sabatini,February 2016,60K,2M
2916,Michael Metcalfe,November 2015,38K,1.2M
2917,Ameera Harouda,February 2016,34K,1.1M
2918,Tony Buffington,April 2016,356K,11M
2919,R. Luke DuBois,February 2016,40K,1.3M
2920,Shivani Siroya,February 2016,53K,1.7M
2921,Kenneth Lacovara,February 2016,121K,4M
2922,Aditi Gupta,May 2015,55K,1.8M
2923,Juan Enriquez,November 2015,64K,2.1M
2924,Marco A. Sotomayor,April 2016,100K,3.3M
2925,Joshua Prager,March 2015,57K,1.9M
2926,Chris Anderson,March 2016,209K,6.9M
2927,Derek Abbott,April 2016,123K,4.1M
2928,Christiana Figueres,February 2016,43K,1.4M
2929,Mary Norris,February 2016,36K,1.2M
2930,Astro Teller,February 2016,85K,2.8M
2931,Paula Hammond,November 2015,49K,1.6M
2932,Andreea S. Calude,April 2016,66K,2.2M
2933,Stephen Petranek,March 2015,209K,6.9M
2934,Hugh Evans,February 2016,59K,1.9M
2935,Linus Torvalds,February 2016,200K,6.6M
2936,Robert Palmer,April 2016,33K,1.1M
2937,Tabetha Boyajian,February 2016,234K,7.8M
2938,Danielle Feinberg,November 2015,98K,3.2M
2939,Parag Khanna,February 2016,38K,1.2M
2940,Haley Van Dyck,February 2016,32K,1M
2941,Adam Grant,February 2016,588K,19M
2942,Nathan S. Jacobs,March 2016,19K,643K
2943,Knut Haanaes,June 2015,66K,2.2M
2944,Lisa Nip,November 2015,54K,1.8M
2945,Mia Nacamulli,March 2016,533K,17M
2946,Dan Gross,February 2016,40K,1.3M
2947,Lisa Winer,March 2016,319K,10M
2948,Angélica Dass,February 2016,83K,2.7M
2949,Alex Kipman,February 2016,116K,3.8M
2950,Siyanda Mohutsiwa,February 2016,33K,1.1M
2951,Latif Nasser,November 2015,99K,3.3M
2952,Arleen Sugano,March 2016,75K,2.5M
2953,Carol Fishman Cohen,November 2015,108K,3.6M
2954,Meron Gribetz,February 2016,54K,1.8M
2955,Arthur Brooks,February 2016,40K,1.3M
2956,Jessica Ladd,February 2016,46K,1.5M
2957,Samantha Agoos,March 2016,263K,8.7M
2958,Tim Urban,February 2016,1.8M,60M
2959,Matt Anticole,March 2016,56K,1.8M
2960,Joe Gebbia,February 2016,83K,2.7M
2961,Casey Gerald,February 2016,67K,2.2M
2962,Tshering Tobgay,February 2016,153K,5.1M
2963,Mileha Soneji,February 2015,32K,1M
2964,Laura Robinson,December 2014,55K,1.8M
2965,Reshma Saujani,February 2016,176K,5.8M
2966,Travis Kalanick,February 2016,58K,1.9M
2967,Alexander Betts,February 2016,30K,1M
2968,Russ Altman,November 2015,54K,1.8M
2969,Magda Sayeg,November 2015,44K,1.4M
2970,Thomas Peschak,October 2015,35K,1.1M
2971,Ivan Coyote,November 2015,52K,1.7M
2972,Mary Bassett,November 2015,38K,1.2M
2973,Audrey Choi,November 2015,58K,1.9M
2974,W. Keith Campbell,February 2016,333K,11M
2975,Dalia Mogahed,February 2016,245K,8.1M
2976,Al Gore,February 2016,68K,2.2M
2977,Raffaello D'Andrea,February 2016,302K,10M
2978,Allan Adams,February 2016,83K,2.7M
2979,Shonda Rhimes,February 2016,157K,5.2M
2980,Angela Koine Flynn,February 2016,88K,2.9M
2981,Celeste Headlee,May 2015,789K,26M
2982,Jocelyne Bloch,December 2015,102K,3.4M
2983,Dorothy Roberts,November 2015,43K,1.4M
2984,Skye C. Cleary,February 2016,165K,5.5M
2985,Mike Velings,October 2015,39K,1.3M
2986,Gregory Heyworth,October 2015,25K,859K
2987,Sean Follmer,October 2015,47K,1.5M
2988,Dambisa Moyo,December 2015,49K,1.6M
2989,Matthew Williams,November 2015,36K,1.2M
2990,Alex Gendler,February 2016,136K,4.5M
2991,Pardis Sabeti,May 2015,49K,1.6M
2992,Judson Brewer,November 2015,526K,17M
2993,Andrés Ruzo,October 2014,67K,2.2M
2994,Dennis Shasha,February 2016,287K,9.5M
2995,Linda Liukas,October 2015,64K,2.1M
2996,Melati and Isabel Wijsen,September 2015,53K,1.7M
2997,Auke Ijspeert,December 2015,62K,2M
2998,Tania Simoncelli,November 2014,34K,1.1M
2999,Leo Q. Wan,January 2016,34K,1.1M
3000,David Gruber,October 2015,75K,2.5M
3001,Yanis Varoufakis,December 2015,99K,3.3M
3002,Elizabeth Lev,December 2015,54K,1.8M
3003,Achenyo Idachaba,May 2015,56K,1.8M
3004,Oscar Schwartz,May 2015,27K,929K
3005,Jill Farrant,December 2015,49K,1.6M
3006,Jill Heinerth,November 2015,59K,1.9M
3007,Mark Liddell,January 2016,34K,1.1M
3008,Ole Scheeren,September 2015,82K,2.7M
3009,Wael Ghonim,December 2015,53K,1.7M
3010,Melvin Russell,September 2015,37K,1.2M
3011,Richard J. Wood,January 2016,147K,4.9M
3012,Tim Harford,September 2015,122K,4M
3013,David Sedlak,September 2015,36K,1.2M
3014,Aomawa Shields,March 2015,54K,1.8M
3015,Sebastian Wernicke,June 2015,50K,1.6M
3016,Harry Cliff,December 2015,81K,2.7M
3017,Robert Waldinger,November 2015,1.2M,41M
3018,Maruša Brada,December 2015,17K,568K
3019,Jason deCaires Taylor,October 2015,53K,1.7M
3020,Rodrigo Bijou,June 2015,43K,1.4M
3021,António Guterres,December 2015,36K,1.2M
3022,Jane Fonda and Lily Tomlin,May 2015,127K,4.2M
3023,Alison Killing,November 2014,46K,1.5M
3024,Helen M. Farrell,December 2015,604K,20M
3025,Lucianne Walkowicz,March 2015,71K,2.3M
3026,Paul Greenberg,October 2015,49K,1.6M
3027,Nicole Paris and Ed Cage,November 2015,143K,4.7M
3028,Amy Adkins,December 2015,211K,7M
3029,Raymond Wang,November 2015,58K,1.9M
3030,Patrick Lin,December 2015,50K,1.6M
3031,Danit Peleg,November 2015,58K,1.9M
3032,Jedidah Isler,August 2015,63K,2.1M
3033,Guillaume Néry,March 2013,34K,1.1M
3034,Cláudio Guerra,December 2015,148K,4.9M
3035,Chieko Asakawa,October 2015,43K,1.4M
3036,Jessica Shortall,October 2015,47K,1.5M
3037,Kristen Marhaver,October 2015,28K,953K
3038,Dan Van der Vieren,November 2015,349K,11M
3039,,December 2015,15,532
3040,Marina Abramović,March 2015,103K,3.4M
3041,Regina Hartley,September 2015,138K,4.6M
3042,Ann Morgan,September 2015,54K,1.8M
3043,Genevieve von Petzinger,August 2015,260K,8.6M
3044,Carl Safina,October 2015,75K,2.5M
3045,Anote Tong,October 2015,34K,1.1M
3046,Bethany Rickwald and Hayley Levitt,November 2015,89K,2.9M
3047,Nonny de la Peña,May 2015,40K,1.3M
3048,Josh Luber,October 2015,69K,2.3M
3049,Jean-Paul Mari,March 2015,26K,881K
3050,Claudia Aguirre,November 2015,387K,12M
3051,Chelsea Shields,August 2015,46K,1.5M
3052,Andreas Ekström,January 2015,48K,1.6M
3053,Madhumita Murgia,November 2015,169K,5.6M
3054,Jenni Chang and Lisa Dazols,May 2015,81K,2.7M
3055,Kaki King,May 2015,46K,1.5M
3056,Harald Haas,September 2015,85K,2.8M
3057,Patrícia Medici,August 2015,44K,1.4M
3058,Jeffrey Siegel,November 2015,501K,16M
3059,Suzanne Duncan,November 2015,730,24K
3060,Suzanne Case,November 2015,176,5.8K
3061,Stephen Lawrence,November 2015,775,25K
3062,Siawn Ou,November 2015,643,21K
3063,Sahil Sethi,November 2015,313,10K
3064,Kirsten Hall,November 2015,1.8K,62K
3065,Katherine Lucas,November 2015,4.2K,140K
3066,James Bickerton,November 2015,401,13K
3067,Chris Vogtherr,November 2015,199,6.6K
3068,Charly Haversat,November 2015,6.8K,226K
3069, B.E.A.T. NYC,November 2015,98,3.2K
3070,Melissa Fleming,May 2015,52K,1.7M
3071,Nancy Lublin,May 2015,30K,1M
3072,"Johnny Staats, Davey Vaughn",July 2017,159,5.3K
3073,Yami Joshi,September 2015,1.3K,44K
3074,Scott Szwast,September 2015,2.3K,78K
3075,Peter Harris,September 2015,644,21K
3076,Mark Modesti,September 2015,543,18K
3077,Laura Lane,September 2015,1.5K,51K
3078,Kelly Lepley,September 2015,2K,67K
3079,Joachim Horn,September 2015,599,19K
3080,Jared Hill,September 2015,295,9.8K
3081,Jack Levis,September 2015,1K,34K
3082,Esther Ndichu,September 2015,2.4K,81K
3083,Alan Amling,September 2015,1.1K,38K
3084,Daniel Levitin,September 2015,568K,18M
3085,Kanawat Senanan,October 2015,66K,2.2M
3086,Mathias Jud,September 2015,30K,1M
3087,Christine Sun Kim,August 2015,61K,2M
3088,Cesar Harada,August 2015,55K,1.8M
3089,Ioannis Papachimonas,October 2015,11K,398K
3090,Hilary Cottam,September 2015,25K,849K
3091,Francesco Sauro,September 2015,47K,1.5M
3092,Sharon Horesh Bergquist,October 2015,168K,5.6M
3093,Tea Uglow,May 2015,52K,1.7M
3094,Jennifer Doudna,September 2015,112K,3.7M
3095,TED-Ed,October 2015,395K,13M
3096,Will Potter,August 2015,147K,4.9M
3097,Meklit Hadero,August 2015,36K,1.2M
3098,Anders Fjellberg,September 2015,40K,1.3M
3099,Alyson McGregor,September 2014,52K,1.7M
3100,Vijay Kumar,April 2015,59K,1.9M
3101,Michael Green,September 2015,70K,2.3M
3102,Teitur,March 2015,33K,1.1M
3103,David Lunney,October 2015,210K,7M
3104,Sandrine Thuret,June 2015,360K,12M
3105,Neri Oxman,March 2015,82K,2.7M
3106,Siddhartha Mukherjee,March 2015,49K,1.6M
3107,Alex Gendler,October 2015,723K,24M
3108,Alice Bows-Larkin,June 2015,39K,1.3M
3109,Emilie Wapnick,April 2015,247K,8.2M
3110,Noah Tavlin,October 2015,83K,2.7M
3111,Martin Pistorius,August 2015,80K,2.6M
3112,Mac Stone,March 2015,39K,1.3M
3113,Taiye Selasi,October 2014,99K,3.3M
3114,Samuel Cohen,June 2015,76K,2.5M
3115,Robin Morgan,May 2015,32K,1M
3116,Catharine Young,September 2015,74K,2.4M
