,author,date,likes,views
4065,Lemn Sissay,June 2012,29K,982K
4066,David Pizarro,May 2012,23K,779K
4067,Bradley Voytek and Tim Verstynen,October 2012,21K,706K
4068,Pankaj Ghemawat,June 2012,30K,1M
4069,Ryan Merkley,June 2012,22K,738K
4070,Lars Brownworth,October 2012,32K,1M
4071,Heather Brooke,June 2012,32K,1M
4072,Beau Lotto + Amy O'Toole,June 2012,50K,1.6M
4073,John Wilbanks,June 2012,17K,599K
4074,Eddie Obeng,June 2012,50K,1.6M
4075,Maurizio Seracini,June 2012,23K,799K
4076,Melissa Marshall,June 2012,82K,2.7M
4077,Ruby Wax,June 2012,90K,3M
4078,John Maeda,June 2012,36K,1.2M
4079,Tim Leberecht,June 2012,32K,1M
4080,Thomas P. Campbell,March 2012,21K,701K
4081,Shimon Schocken,June 2012,33K,1.1M
4082,Jason McCue,June 2012,25K,842K
4083,Robert Gupta,April 2012,38K,1.2M
4084,Amy Cuddy,June 2012,1.9M,64M
4085,Vicki Arroyo,June 2012,36K,1.2M
4086,Aris Venetikidis,September 2012,22K,744K
4087,Bahia Shehab,June 2012,35K,1.1M
4088,Ben Goldacre,June 2012,80K,2.6M
4089,John Lloyd,September 2012,68K,2.2M
4090,Clay Shirky,June 2012,39K,1.3M
4091,Jane Hirshfield,September 2012,34K,1.1M
4092,Read Montague,June 2012,23K,794K
4093,Andrew McAfee,June 2012,33K,1.1M
4094,Rachel Botsman,June 2012,45K,1.5M
4095,Ed Gavagan,April 2012,33K,1.1M
4096,Bandi Mbubi,April 2012,19K,645K
4097,Andrew Blum,June 2012,49K,1.6M
4098,Julian Treasure,June 2012,41K,1.3M
4099,Sarah-Jayne Blakemore,June 2012,111K,3.7M
4100,Tristram Stuart,May 2012,56K,1.8M
4101,Beth Noveck,June 2012,18K,601K
4102,Wayne McGregor,June 2012,35K,1.1M
4103,Susan Solomon,June 2012,29K,967K
4104,Leslie T. Chang,June 2012,49K,1.6M
4105,Daniel Dulek,September 2012,58K,1.9M
4106,Vikram Patel,June 2012,37K,1.2M
4107,Scott Fraser,May 2012,42K,1.4M
4108,Kent Larson,June 2012,37K,1.2M
4109,Jonathan Trent,June 2012,33K,1.1M
4110,Antony Gormley,June 2012,16K,559K
4111,Shyam Sankar,June 2012,29K,988K
4112,Robert Neuwirth,June 2012,27K,918K
4113,Rob Legato,June 2012,62K,2M
4114,Timothy Prestero,June 2012,33K,1.1M
4115,Jon Ronson,March 2012,838K,27M
4116,Caitria + Morgan O'Neill,June 2012,29K,976K
4117,Ivan Krastev,June 2012,22K,755K
4118,Mark Forsyth,June 2012,55K,1.8M
4119,Lisa Kristine,January 2012,89K,2.9M
4120,Kirby Ferguson,June 2012,47K,1.5M
4121,Pam Warhurst,May 2012,43K,1.4M
4122,Max Little,June 2012,41K,1.3M
4123,Margaret Heffernan,June 2012,133K,4.4M
4124,Scilla Elworthy,April 2012,38K,1.2M
4125,Hannah Fry,June 2012,27K,906K
4126,Mark Applebaum,May 2012,170K,5.6M
4127,Becci Manson,June 2012,26K,880K
4128,Daphne Koller,June 2012,85K,2.8M
4129,Stephen Ritz,February 2012,43K,1.4M
4130,Michael Anti,June 2012,52K,1.7M
4131,Giles Duley,March 2012,7.5K,252K
4132,Noah Wilson-Rich,June 2012,27K,901K
4133,Michael Hansmeyer,June 2012,28K,954K
4134,Ramesh Raskar,June 2012,169K,5.6M
4135,Tracy Chevalier,May 2012,44K,1.4M
4136,Malte Spitz,June 2012,52K,1.7M
4137,James Stavridis,June 2012,23K,774K
4138,Vinay Venkatraman,April 2012,19K,648K
4139,John Graham-Cumming,March 2012,38K,1.2M
4140,Neil Harbisson,June 2012,99K,3.3M
4141,Matt Mills,June 2012,81K,2.7M
4142,Baba Shiv,May 2012,27K,916K
4143,Dennis Wildfogel,July 2012,85K,2.8M
4144,Jamie Drummond,June 2012,18K,606K
4145,Mina Bissell,June 2012,34K,1.1M
4146,Gabriel Barcia-Colombo,February 2012,24K,816K
4147,Todd Humphreys,February 2012,24K,811K
4148,Scott Gass,July 2012,54K,1.8M
4149,Jared Ficklin,March 2012,21K,724K
4150,Marc Goodman,June 2012,43K,1.4M
4151,Chris Gerdes,May 2012,24K,832K
4152,Jonathan Eisen,April 2012,27K,927K
4153,Jane McGonigal,June 2012,228K,7.6M
4154,Usman Riaz + Preston Reed,June 2012,161K,5.3M
4155,Cesar Harada,June 2012,27K,910K
4156,Raghava KK,April 2012,26K,883K
4157,Alanna Shaikh,June 2012,53K,1.7M
4158,Jill Tarter,July 2012,31K,1M
4159,Boaz Almog,June 2012,82K,2.7M
4160,Elyn Saks,June 2012,138K,4.6M
4161,Don Tapscott,June 2012,34K,1.1M
4162,Massimo Banzi,June 2012,63K,2.1M
4163,Rives,April 2012,23K,789K
4164,E.O. Wilson,April 2012,41K,1.3M
4165,Nirmalya Kumar,April 2012,30K,1M
4166,Jon Nguyen,December 2011,25K,849K
4167,George Zaidan,June 2012,103K,3.4M
4168,Wolfgang Kessling,April 2012,22K,754K
4169,Peter Norvig,February 2012,37K,1.2M
4170,Marco Tempest,March 2012,55K,1.8M
4171,Ivan Oransky,April 2012,21K,717K
4172,David R. Dow,February 2012,127K,4.2M
4173,Megan Kamerick,September 2011,10K,355K
4174,Rodney Mullen,May 2012,89K,2.9M
4175,LZ Granderson,May 2012,51K,1.7M
4176,Sarah Parcak,March 2012,37K,1.2M
4177,Beeban Kidron,May 2012,30K,1M
4178,Rebecca Onie,April 2012,40K,1.3M
4179,John Hockenberry,March 2012,24K,811K
4180,Ami Klin,September 2011,21K,722K
4181,Aaron Sams,June 2012,51K,1.7M
4182,John Hodgman,March 2012,36K,1.2M
4183,Damian Palin,February 2012,30K,1M
4184,Terry Moore,February 2012,127K,4.2M
4185,Diane Kelly,April 2012,143K,4.7M
4186,Juan Enriquez,April 2012,61K,2M
4187,David Birch,April 2012,7.4K,248K
4188,Seth Shostak,April 2012,29K,983K
4189,Quixotic Fusion,February 2012,49K,1.6M
4190,Sebastian Deterding,November 2011,20K,681K
4191,Dalia Mogahed,April 2012,20K,678K
4192,William Noel,April 2012,32K,1M
4193,Ken Goldberg,February 2012,11K,395K
4194,David MacKay,March 2012,17K,583K
4195,Reggie Watts,February 2012,385K,12M
4196,Shereen El Feki,April 2012,17K,575K
4197,Philippe Petit,March 2012,23K,782K
4198,Hans Rosling,April 2012,98K,3.2M
4199,Christopher Danielson,May 2012,40K,1.3M
4200,Nathan Wolfe,February 2012,29K,978K
4201,Melissa Garren,April 2012,7.7K,258K
4202,Michael McDaniel,February 2012,9.5K,318K
4203,JR,March 2012,40K,1.3M
4204,Carl Schoonover,February 2012,29K,990K
4205,David Kelley,March 2012,176K,5.8M
4206,Jean-Baptiste Michel,February 2012,40K,1.3M
4207,Tali Sharot,February 2012,79K,2.6M
4208,Bart Knols,April 2012,10K,347K
4209,José Bowen,December 2011,5.5K,185K
4210,Renny Gleeson,February 2012,56K,1.8M
4211,Joshua Foer,February 2012,187K,6.2M
4212,Karen Bass,March 2012,27K,902K
4213,JP Rangaswami,April 2012,22K,735K
4214,Michael Tilson Thomas,March 2012,55K,1.8M
4215,Rick Guidotti,November 2011,6.1K,204K
4216,Tavi Gevinson,March 2012,57K,1.9M
4217,Rory Sutherland,December 2011,93K,3.1M
4218,Gary Kovacs,February 2012,68K,2.2M
4219,Reuben Margolin,March 2012,21K,703K
4220,Amory Lovins,March 2012,38K,1.2M
4221,April Gudenrath,April 2012,51K,1.7M
4222,Liz Diller,March 2012,21K,715K
4223,Brenda Romero,November 2011,17K,597K
4224,Joe Smith,March 2012,116K,3.8M
4225,Nancy Lublin,February 2012,33K,1.1M
